Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
The Holdovers,2023,133,Da'Vine Joy Randolph,Da'Vine Joy Randolph,Dominic Sessa,Carrie Preston,Alexander Payne,Comedy, Drama,Unknown,7.9,69.63468634686348,2024-03-21
Monkey Man,2024,121,Dev Patel,Sharlto Copley,Pitobash,Unknown,Dev Patel,Action, Crime, Thriller,6.8,69.63468634686348,2024-03-21
Need for Speed,2014,132,Aaron Paul,Dominic Cooper,Imogen Poots,Unknown,Scott Waugh,Action, Crime, Drama,6.4,69.63468634686348,2024-05-17
Divergent,2014,139,Shailene Woodley,Theo James,Kate Winslet,Unknown,Neil Burger,Action, Adventure, Drama,6.6,41.0,2024-06-05
The Hunger Games,2012,142,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,Gary Ross,Action, Adventure, Sci-Fi,7.2,84.0,2024-06-05
The Hunger Games: Catching Fire,2013,146,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman,Francis Lawrence,Action, Adventure, Sci-Fi,7.5,90.0,2024-06-05
The Hunger Games: Mockingjay - Part 1,2014,123,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Unknown,Francis Lawrence,Action, Adventure, Sci-Fi,6.6,69.0,2024-06-05
The Hunger Games: Mockingjay - Part 2,2015,137,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Unknown,Francis Lawrence,Action, Adventure, Sci-Fi,6.6,69.0,2024-06-05
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,Rachel Zegler,Tom Blyth,Viola Davis,Unknown,Francis Lawrence,Action, Adventure, Drama,6.7,69.63468634686348,2024-06-05
Life is Beautiful,1997,116,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Unknown,Roberto Benigni,Comedy, Drama, Romance,8.6,69.63468634686348,2024-06-16
Terminator 2: Judgment Day,1991,137,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,James Cameron,Action, Adventure, Sci-Fi,8.6,93.0,2024-06-16
The Town,2010,125,Ben Affleck,Rebecca Hall,Jon Hamm,Jeremy Renner,Ben Affleck,Crime, Drama, Thriller,7.5,93.0,2024-06-20
Footloose,1984,107,Kevin Bacon,Lori Singer,John Lithgow,Unknown,Herbert Ross,Drama, Music, Romance,6.6,69.0,2024-06-26
Maverick,1994,127,Mel Gibson,Jodie Foster,James Garner,Unknown,Richard Donner,Action, Adventure, Comedy,7.0,66.0,2024-06-27
The Cincinnati Kid,1965,102,Steve McQueen,Ann-Margret,Edward G. Robinson,Karl Malden,Norman Jewison,Drama,Unknown,Unknown,7.2,82.0,2024-06-27
The Grand,2007,104,Woody Harrelson,David Cross,Dennis Farina,Unknown,Zak Penn,Comedy,Unknown,Unknown,5.9,40.0,2024-06-27
Shade,2003,101,Joe Nicolo,Carl Mazzocone Sr.,George Tovar,Unknown,Damian Nieman,Crime, Thriller,Unknown,6.3,67.0,2024-06-27
Deal,2008,86,Burt Reynolds,Bret Harrison,Maria Mason,Unknown,Gil Cates Jr.,Comedy, Drama,Unknown,5.3,3.0,2024-06-27
Lucky You,2007,124,Eric Bana,Drew Barrymore,Robert Duvall,Unknown,Curtis Hanson,Drama, Romance, Sport,5.9,29.0,2024-06-27
Crazy Rich Asians,2018,120,Constance Wu,Henry Golding,Michelle Yeoh,Unknown,Jon M. Chu,Comedy, Drama, Romance,6.9,91.0,2024-07-02
The Way Back,2020,108,Ben Affleck,Al Madrigal,Janina Gavankar,Unknown,Gavin O'Connor,Drama, Sport,Unknown,6.7,84.0,2024-07-04
